,Hotel,Address,Score,Latitude,Longitude,City
37,The Bryson Hotel,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,7.8,51.5220869,-0.1082443,"London, United Kingdom"
38,Hilton London Hyde Park,129 Bayswater Road London W2 4RJ United Kingdom,7.8,51.510459999999995,-0.1875844,"London, United Kingdom"
39,Staunton Hotel B B,13 15 Gower Street Camden London WC1E 6HE United Kingdom,8.3,51.520378,-0.1303414,"London, United Kingdom"
40,Le Marceau Bastille,13 Rue Jules Cesar 12th arr 75012 Paris France,8.6,48.8490691,2.3697484,"Paris, France"
41,Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,8.3,51.5210085,-0.12309660000000001,"London, United Kingdom"
42,The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,8.9,51.51224570000001,-0.0757326,"London, United Kingdom"
43,Radisson Blu Edwardian Grafton,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,8.3,51.5241386,-0.1380807,"London, United Kingdom"
44,The Henrietta Hotel,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,9.2,51.5109079,-0.1238221,"London, United Kingdom"
45,Sofitel Paris Arc De Triomphe,14 Rue Beaujon 8th arr 75008 Paris France,8.8,48.875184499999996,2.3013214,"Paris, France"
46,Hilton London Paddington,146 Praed Street Westminster Borough London W2 1EE United Kingdom,8.2,51.515632000000004,-0.17573699999999998,"London, United Kingdom"
47,Kensington House Hotel,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,8.2,51.5012329,-0.1859937,"London, United Kingdom"
48,Novotel Paris 14 Porte d Orl ans,15 Boulevard Romain Rolland 14th arr 75014 Paris France,8.3,48.8196885,2.3263505,"Paris, France"
49,COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France,9.0,48.832876399999996,2.3572531000000003,"Paris, France"
50,The Leonard Hotel,15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,8.2,51.5147071,-0.15782910000000003,"London, United Kingdom"
51,DoubleTree by Hilton London Hyde Park,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,8.4,51.5100362,-0.190657,"London, United Kingdom"
52,M by Montcalm Shoreditch London Tech City,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,9.1,51.5278465,-0.0889473,"London, United Kingdom"
53,St Paul s Hotel,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,9.0,51.493475200000006,-0.21532559999999998,"London, United Kingdom"
54,Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France,7.8,48.843707,2.3155631000000003,"Paris, France"
55,Hotel Indigo London Paddington,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,8.7,51.5150534,-0.1739974,"London, United Kingdom"
56,Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,7.1,51.5019097,-0.0232208,"London, United Kingdom"
57,Novotel London Greenwich,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,8.6,51.4778583,-0.0137463,"London, United Kingdom"
58,Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France,8.5,48.874612799999994,2.3056956000000004,"Paris, France"
59,Malmaison London,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,8.7,51.520943,-0.10045810000000001,"London, United Kingdom"
60,Park Plaza London Riverbank,18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,8.3,51.491373700000004,-0.1214194,"London, United Kingdom"
61,Pullman Paris Tour Eiffel,18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,8.6,48.8555664,2.2926243,"Paris, France"
62,Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France,8.8,48.8663208,2.3450398999999997,"Paris, France"
63,The Rockwell,181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,8.6,51.4948059,-0.1926525,"London, United Kingdom"
64,The LaLit London,181 Tooley Street Southwark London SE1 2JR United Kingdom,9.3,51.5032524,-0.078179,"London, United Kingdom"
65,Courthouse Hotel London,19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,8.0,51.5143624,-0.1394483,"London, United Kingdom"
66,Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,7.7,51.4907493,-0.19346270000000002,"London, United Kingdom"
67,Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,7.7,48.8603483,2.3440535,"Paris, France"
